timestamp,peak_power,mean_power,peak_frequency,bandwidth
2025-11-21T15:24:00.827420,51.02,11.42,924,1024
2025-11-21T15:24:02.839792,50.85,11.72,100,1024
2025-11-21T15:24:04.854441,51.04,11.81,924,1024
2025-11-21T15:24:06.868706,50.97,11.79,100,1024
2025-11-21T15:24:08.889058,51.04,11.68,100,1024
2025-11-21T15:24:10.903551,51.03,11.57,924,1024
2025-11-21T15:24:12.917770,50.96,11.50,100,1024
2025-11-21T15:24:14.931743,51.14,11.29,924,1024
2025-11-21T15:24:16.945757,51.02,11.77,924,1024
2025-11-21T15:24:18.960576,50.92,11.88,924,1024
